long_name,short_name,area,state,contact,email,url,phone,address
Milford Transit District,MTD,Milford,CT,Mr. Henry Jadach (Executive Director),henry@milfordtransit.com,http://www.milfordtransit.com/,(203)874-4507,"259 Research Drive, Milford, CT 06460"
Connecticut Department of Transportation,CDOT,Newington,CT,"Mr. Raymond Godcher (Chief, Fiscal & Administration)",Raymond.Godcher@PO.state.CT.US,http://www.ct.gov/dot,(860)594-2805,"2800 Berlin Turnpike, Newington, CT 06131"
Norwalk Transit District,,Norwalk,CT,Mr. Louis Schulman (Administrator),lschulman@norwalktransit.com,http://www.norwalktransit.com/,(203)299-5160 Ext:163,"275 Wilson Avenue, Norwalk, CT 06854"
Southeast Area Transit,SEAT,Preston,CT,Ms. Ella Bowman (General Manager),ebowman@seatransit.org,http://www.seatbus.com/,(860)886-2631 Ext:104,"21 Route 12, Preston, CT 06365"
"2Plus Partners in Transportation, Inc",2Plus,Rocky Hill,CT,Mr. Byron York (President),byork@2plus.com,http://www.2plus.com/,(860)242-1722 Ext:101,"1800 Silas Deane Highway #305N, Rocky Hill, CT 06067"
"Northeast Transportation Company, Inc.",,Waterbury,CT,Ms. Barbara Kalosky (General Manager-President),bknet6@aol.com,,(203)753-2538,"1717 Thomaston Avenue P.O. Box 4670, Waterbury, CT 06704"
Greater Hartford Ridesharing Corporation - The Rideshare Company,GHRC,Windsor,CT,Mr. Jonathan Colman (President & CEO),jcolman@rideshare.com,http://www.rideshare.com/,(860)692-1222,"100 Corporate Drive Suite 120, Windsor, CT 06095"
Massachusetts Bay Transportation Authority,MBTA,Boston,MA,Mr. WILLIAM MITCHELL (ACTING GENERAL MANAGER ),GM@MBTA.COM,http://www.mbta.com/,(617)222-5176,"10 Park Plaza, Boston, MA 02116"
Brockton Area Transit Authority,BAT,Brockton,MA,Mr. Reinald Ledoux (Administrator),rledoux@ridebat.com,http://www.ridebat.com/,(508)588-1000,"155 Court Street, Brockton, MA 02302"
Montachusett Regional Transit Authority,MART,Fitchburg,MA,Mr. Mohammed Khan (Administrator),mkhan@mrta.us,http://www.mrta.us/,(978)345-7711 Ext:2233,"Rear 1427 Water Street, Fitchburg, MA 01420"
Cape Ann Transportation Authority,CATA,Gloucester,MA,Mr. Paul Talbot (Administrator),ptalbot70@hotmail.com,http://www.canntran.com/,(978)283-1886 Ext:16,"3 Pond Road, Gloucester, MA 01931"
Merrimack Valley Regional Transit Authority,MVRTA,Haverhill,MA,Mr. Joseph Costanzo (Administrator),jcostanzo@mvrta.com,http://www.mvrta.com/,(978)469-1251,"85 Railroad Avenue, Haverhill, MA 01835"
Cape Cod Regional Transit Authority,CCRTA,Hyannis,MA,Mr. Thomas Cahair (Administrator),tcahair@capecoderta.org,http://www.thebreeze.info/,(508)775-8504 Ext:204,"215 Iyannough Road, Route 28, Hyannis, MA 02601"
Lowell Regional Transit Authority,LRTA,Lowell,MA,Mr. James Scanlan (Administrator),jhs1251@aol.com,http://www.lrta.com/,(978)459-0164,"145 Thorndike Street, Lowell, MA 01852"
Southeastern Regional Transit Authority,SRTA,New Bedford,MA,Mr. Joseph Cosentino (Administrator),jcsrta@aol.com,http://www.srtabus.com/,(508)997-6767,"700 Pleasant Street, 1st Floor, New Bedford, MA 02740"
Berkshire Regional Transit Authority,BRTA,Pittsfield,MA,Mr. Gary Shepard (Administrator),gary.shepard@berkshirerta.com,http://www.berkshirerta.com/,(413)499-2782 Ext:48,"One Columbus Avenue, Suite 201, Pittsfield, MA 01201"
Pioneer Valley Transit Authority,PVTA,Springfield,MA,Ms. Mary MacInnes (Administrator),mmacinnes@pvta.com,http://www.pvta.com/,(413)732-6249 Ext:249,"2808 Main Street, Springfield, MA 01107"
Greater Attleboro-Taunton Regional Transit Authority,GATRA,Taunton,MA,Mr. Francis Gay (Administrator),fgay@gatra.org,http://www.gatra.org/,(508)226-1102 Ext:220,"10 Oak Street Second Floor, Taunton, MA 02780"
Worcester Regional Transit Authority,WRTA,Worcester,MA,Mr. Stephen O'Neil (Administrator),soneil@therta.com,http://www.therta.com/,(508)791-2389 Ext:3032,"287 Grove Street, Worcester, MA 01605"
"Western Maine Transportation Services, Inc.",WMTS,Auburn,ME,Mr. Patrick Christian (General Manager),pchristian@westernmainetrans.org,,207-333-6972 Ext:206,"76 Merrow Road, Auburn, ME 04210"
City of Bangor - BAT Community Connector,BAT,Bangor,ME,Mr. Edward Barrett (City Manager),ed.barrett@bangormaine.gov,http://www.bangormaine.gov/,(207)945-4400,"73 Harlow Street, Bangor, ME 04401"
Casco Bay Island Transit District,CBITD,Portland,ME,Ms. Catherine Debo (General Manager),cdebo@cascobaylines.com,http://www.cascobaylines.com/,(207)774-7871 Ext:103,"P.O. BOX 4656, Portland, ME 04112"
Greater Portland Transit District,Metro,Portland,ME,Mr. David Redlefsen (General Manager),dredlef@gpmetrobus.com,http://www.gpmetrobus.com/,(207)774-0351,"114 Valley Street, Portland, ME 04102"
"The Regional Transportation Program, Inc.",RTP,Portland,ME,Mr. Jack DeBeradinis (Acting Executive Director),jackd@rtprides.org,http://www.rtprides.org/,(207)774-2666 Ext:113,"127 St. John Street, Portland, ME 04102"
Northern New England Passenger Rail Authority,NNEPRA,Portland,ME,Ms. Patricia Quinn (Executive Director),patricia@nnepra.com,http://www.amtrakdowneaster.com/,(207)780-1000 Ext:105,"75 West Commercial Street Suite 104, Portland, ME 04101"
Cooperative Alliance for Seacoast Transportation,COAST,Dover,NH,Mr. Rad Nichols (Executive Director),rnichols@coastbus.org,http://www.coastbus.org/,(603)743-5777 Ext:100,"42 Sumner Drive, Dover, NH 03820"
Manchester Transit Authority,MTA,Manchester,NH,Mr. Evan Rosset (Executive Director),erosset@mtabus.org,http://www.mtabus.org/,(603)623-8801 Ext:612,"110 Elm Street, Manchester, NH 03101"
Nashua Transit System,NTS,Nashua,NH,Hon. Donnalee Lozeau (Mayor-City of Nashua),lozeaud@nashuanh.gov,http://www.gonashua.com/,(603)589-3260,"11 Riverside St., Nashua, NH 03062"
Rhode Island Public Transit Authority,RIPTA,Providence,RI,Mr. Alfred Moscola (General Manager),AJMoscola@ripta.com,http://www.ripta.com/,(401)784-9500 Ext:171,"265 Melrose Street, Providence, RI 02907"
Bonanza,BZ,Providence,RI,Mr. Peter Picknelly (President),peter@peterpanbus.com,http://www.bonanzabus.com/,(800)237-8747 Ext:1202,"One Bonanza Way, Providence, RI 02904"
Chittenden County Transportation Authority,CCTA,Burlington,VT,Mr. Christopher Cole (General Manager),ccole@cctaride.org,http://www.cctaride.org/,(802)864-0211,"15 Industrial Parkway, Burlington, VT 05401"
Cumberland County Office on Aging,CCOOA,Bridgeton,NJ,Ms. Misono Miller (Executive Director),pgarino@njtransit.com,http://www.co.cumberland.nj.us.com/,(856)453-2220,"790 East Commerce Street, Bridgeton, NJ 08302"
"Lakeland Bus Lines, Inc.",,Dover,NJ,Mr. Gregory Mazzarisi (President),gmazz@nac.com,http://www.lakelandbus.com/,(800)367-0601 Ext:611,"425 East Blackwell Street, Dover, NJ 07802"
"Olympia Trails Bus Company, Inc.",Coach USA,Elizabeth,NJ,Mr. James Rutherford (V.P. Northeast Region),james.rutherford@coachusa.com,http://www.olympiabus.com/,(908)354-3330 Ext:273,"349 First Street, Elizabeth, NJ 07206"
"Orange-Newark-Elizabeth, Inc.",Coach USA,Elizabeth,NJ,Mr. James Rutherford (General Manager),james.rutherford@coachusa.com,http://www.coachusa.com/,(908)354-0545,"349 First Street, Elizabeth, NJ 07206"
Trans-Hudson Express,,Elizabeth,NJ,Mr. James Rutherford (General Manager),james.rutherford@coachusa.com,http://www.transhudson.com/,(973)354-0545,"349 First Street, Elizabeth, NJ 07206"
"Academy Lines, Inc.",,Hoboken,NJ,Mr. Francis Tedesco (President),FTEDESCO@ACADEMYBUS.COM,http://www.academybus.com/,(201)420-7000,"Francis A. Tedesco, President 111 Paterson Avenue, Hoboken, NJ 07030"
Port Authority Trans-Hudson Corporation,PATH,Jersey City,NJ,Mr. Michael DePallo (Director/General Manager),mdepallo@panynj.gov,http://www.panynj.gov/,(201)216-6199,"One Path Plaza, Jersey City, NJ 07306"
Port Authority Transit Corporation,PATCO,Lindenwold,NJ,Mr. Robert Box (General Manager),bbox@drpa.org,http://www.ridepatco.org/,(856)772-6900 Ext:6926,"Carlton Avenue, Lindenwold, NJ 08021"
"Hudson Transit Lines, Inc.",Short Line,Mahwah,NJ,Mr. George Grieve (General Manager),george.grieve@coachusa.com,http://www.shortlinebus.com/,(201)529-3666 Ext:1301,"4 Leisure Lane, Mahwah, NJ 07430"
DeCamp Bus Lines,,Montclair,NJ,Mr. Gary Pard (Vice President),garyppard@aol.com,http://www.decamp.com/,(973)783-7500,"101 Greenwood Avenue, Montclair, NJ 07042"
Suburban Transit Corporation,Coach USA,New Brunswick,NJ,Mr. Scott Sprengel (General Manager),scott.sprengel@coachusa.com,http://www.suburbantransit.com/,(732)249-1100,"750 Somerset Street, New Brunswick, NJ 08901"
New Jersey Transit Corporation-45,NJTC-45,Newark,NJ,Mr. Frank Riccio (President),MC1107@AOL.COM,http://www.njtransit.com/,(201)433-8248,"1 Penn Plaza East, Newark, NJ 07105"
New Jersey Transit Corporation,NJ TRANSIT,Newark,NJ,Mr. Richard Sarles (Executive Director),rsarles@njtransit.com,http://www.njtransit.com/,(973)491-8074,"One Penn Plaza, East, Newark, NJ 07105"
"Community Transit, Inc.",Community Transit,Paramus,NJ,Mr. John Nguyen (General Manager),john.nguyen@coachusa.com,http://www.coachusa.com/,(201)225-7515,"160 South route 17 North, Paramus, NJ 07652"
Port Imperial Ferry Corporation dba NY Waterway,,Weehawken,NJ,"Mr. Arthur Imperatore, Sr. (President and Chief Executive Officer)",imperatoresr@nywaterway.com,http://www.nywaterway.com/,201-902-8740,"4800 Avenue at Port Imperial, Weehawken, NJ 07086"
"Rockland Coaches, Inc.",,Westwood,NJ,Mr. George Grieve (President),george.grieve@coachusa.com,http://www.redandtanlines.com/,(201)225-7581,"180 Old Hook Road, Westwood, NJ 07675"
Capital District Transportation Authority,CDTA,Albany,NY,Mr. Carm Basile (Executive Director),carmb@cdta.org,http://www.cdta.org/,(518)437-8350,"110 Watervliet Avenue, Albany, NY 12206"
Private Transportation Corporation,,Brooklyn,NY,Mr. Jack Marmurstein (President),seegerct1@yahoo.com,,(718)875-8200 Ext:103,"15 Second Avenue, Brooklyn, NY 11215"
Monroe Bus Corporation,,Brooklyn,NY,Mr. Herman Freund (President),jfreund@monroebus.com,,(718)782-8700 Ext:117,"60 Nostrand Avenue, Brooklyn, NY 11205"
"Private One of New York, LLC, dba: New York Airport Service",,Brooklyn,NY,Mr. Jack Marmurstein (CEO),seegerct1@yahoo.com,http://www.nyairportservice.com/,(718)875-8200,"15 Second Avenue, Brooklyn, NY 11215"
Niagara Frontier Transportation Authority,NFT Metro,Buffalo,NY,Mr. Lawrence Meckler (Executive Director),lawrence_meckler@nfta.com,http://www.nfta.com/,(716)855-7230,"181 Ellicott Street, Buffalo, NY 14203"
Putnam County Transit,PART,Carmel,NY,"Mr. John Lynch (Commissioner of Planning, Development & Public Transp.)",john.lynch@putnamcountyny.gov,http://www.putnamcountyny.com/,(845)878-3480 Ext:110,"Putnam County Planning Department 841 Fair Street, Carmel, NY 10512"
Chemung County Transit System,CCTS,Elmira,NY,Mr. Thomas Santulli (Chemung County Executive),tsantulli@co.chemung.ny.us,http://www.chemungcountytransit.com/,(607)737-2912,"1201 Clemens Center Parkway, Elmira, NY 14901"
"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",MTA Long Island Bus,Garden City,NY,Mr. Joseph Smith (President),Joseph.Smith@nyct.com,http://www.libus.org/,(516)296-4122 Ext:0000,"700 Commercial Avenue, Garden City, NY 11530"
Town of Highlands Dial-A-Bus,,Highland Falls,NY,Mrs. Colleen Solan (Manager ),csolan@townofhighlands.com,,(845)446-7433,"254 Main Street, Highland Falls, NY 10928"
Huntington Area Rapid Transit,HART,Huntington Station,NY,Mr. Frank Petrone (Town Supervisor),smcgloin@town.huntington.ny.us,http://town.huntington.ny.us/,(631)351-3053,"144 East Second Street, Huntington Station, NY 11746"
"Adirondack Transit Lines, Inc,",Adirondack Trailways,Hurley,NY,Mr. Eugene Berardi (President),eberardijr@trailwaysny.com,http://www.trailwaysny.com/,(845)339-4230 Ext:137,"499 Hurley Avenue, Hurley, NY 12443"
Tompkins Consolidated Area Transit,TCAT,Ithaca,NY,Mr. Joseph Turcotte (General Manager),jt1@tcatmail.com,http://www.tcatbus.com/,(607)277-9388 Ext:444,"737 Willow Avenue, Ithaca, NY 14850"
MTA Long Island Rail Road,MTA LIRR,Jamaica,NY,Ms. Helena Williams (President),hewilli@lirr.org,http://www.mta.nyc.ny.us/lirr/,(718)558-8252,"Jamaica Station, Jamaica, NY 11435"
Ulster County Area Transit,UCAT,Kingston,NY,Mr. Arthur Smith (Ulster County Budget Director),asmi@co.ulster.ny.us,http://www.co.ulster.ny.us/ucat,(845)340-3633,"1 Danny Circle, Kingston, NY 12401"
City of Long Beach,Long Beach Bus,Long Beach,NY,Mr. Charles Theofan (City Manager),ctheofan@longbeachny.org,http://www.longbeachny.org/,(516)431-1000 Ext:7201,"One West Chester Street, Long Beach, NY 11561"
Town of Monroe Dial-A-Bus,Monroe DAB,Monroe,NY,Hon. Sandy Leonard (Town Supervisor ),dab@monroeny.org,http://www.monroeny.org/,(845)783-1900 Ext:227,"91 Mine Road, Monroe, NY 10950"
Village of Kiryas Joel,KJ,Monroe,NY,Mr Abraham Wieder (Mayor),gskj@thejnet.com,,(845)783-8300,"Monroe, NY 10949"
Westchester County Bee-Line System,The Bee-Line System,Mount Vernon,NY,Mr. Lawrence Salley (Commissioner),lcs1@westchestergov.com,http://www.westchestergov.com/,(914)813-7715,"100 East First Street, Mount Vernon, NY 10550"
Clarkstown Mini-Trans,,Nanuet,NY,Mr. Alexander Gromack (Supervisor),a_gromack@town.clarkstown.ny.us,http://town.clarkstown.ny.us/,(845)639-2020,"16 Seeger Drive, Nanuet, NY 10954"
Newburgh Beacon Bus Corporation,NBBC,New Windsor,NY,"Mr. Edward Gallagher, Jr. (President)",egallagher@leprechaunlines.com,http://www.leprechaunlines.com/,(845)565-7900,"24 Windsor Highway, New Windsor, NY 12550"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",MTA-MNCR,New York,NY,Mr. Howard Permut (President),permut@mnr.org,http://www.mnr.org/,(212)340-2500,"347 Madison Avenue, New York, NY 10017"
New York City Department of Transportation,NYCDOT,New York,NY,Mr. Joseph Jarrin (Deputy Commisioner),jjarrin@dot.nyc.gov,http://www.ci.nyc.ny.us/html/dot,(212)676-0562,"59 Maiden Lane, 35 th Floor, New York, NY 10038"
MTA New York City Transit,NYCT,New York,NY,"Mr. Howard Roberts, Jr. (President)",Howard.Roberts@nyct.com,http://www.mta.info/,(646)252-5800,"2 Broadway, New York, NY 10004"
MTA Bus Company,MTABUS,New York,NY,Mr. Joseph Smith (President),joseph.smith@mtabusco.com,http://www.mta.info/,(646)252-5872,"341 Madison Avenue, New York, NY 10017"
"BillyBey Ferry Company, LLC",,New York,NY,Mr. Paul Goodman (Chief Executive Officer),paulgoodman@mindspring.com,http://www.nywaterway.com/,201-902-8814,"Pier 79 459 12th Avenue, New York, NY 10018"
"Hendrick Hudson Bus Lines, Inc.",HHBL,Newburgh,NY,"Mr. Edward Gallagher, Jr (Chief Executive )",egallagher@leprechaunlines.com,http://www.leprechaunlines.com/,(845)565-7900 Ext:302,"100 Leprechaun Lane, Newburgh, NY 12550"
Tioga County,Tioga County Transit,Owego,NY,Mr. Shawn Yetter (Commissioner of Department of Social Services),shawn.yetter@dfa.state.ny.us,http://www.tiogacountyny.com/transportation,(607)687-8302,"1062 State Route 38, Owego, NY 13827"
Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,TRIPS,Pomona,NY,Mr. Michael Gurski (Transit Administrator),GurskiM@co.rockland.ny.us,http://www.co.rockland.ny.us/,(845)364-2066,"CITS-Trips-Yeager Health Group Center Building T, Sanatorium Road, Pomona, NY 10970"
Transport of Rockland,TOR,Pomona,NY,Mr. Michael Gurski (Transit Administrator),Gurskim@co.rockland.ny.us,http://www.co.rockland.ny.us/,(845)364-2066,"Robert L. Yeager Health Center Building T, Pomona, NY 10970"
City of Poughkeepsie,,Poughkeepsie,NY,Mr. Michael Long (City Administrator),cknapp@cityofpoughkeepsie.com,http://www.cityofpoughkeepsie.com/,(845)451-4072,"Poughkeepsie, NY 12602"
Dutchess County Division of Mass Transportation,Loop Bus,Poughkeepsie,NY,Mr. Scott Colburn (General Manager),scolburn@co.dutchess.ny.us,http://www.dutchessny.gov/,(845)473-0171 Ext:101,"14 Commerce Street, Poughkeepsie, NY 12603"
Greater Glens Falls Transit System,GGFT,Queensbury,NY,Mr. Scott Sopczyk (Transportation Director),ssggft@choiceonemail.com,http://www.cityofglensfalls.com/,(518)792-1086,"495 Queensbury Avenue, Queensbury, NY 12804"
"Regional Transit Service, Inc. and Lift Line, Inc.",R-GRTA,Rochester,NY,Mr. Mark Aesch (Chief Executive Officer),maesch@rgrta.com,http://www.rgrta.com/,(585)654-0220,"1372 East Main Street, Rochester, NY 14609"
Village of Spring Valley Bus,Spring Valley Jitney,Spring Valley,NY,Mr. George Darden (Mayor),gdarden@villagespringvalley.org,http://www.villagespringvalley.org/,(845)573-5864,"200 North Main Street, Spring Valley, NY 10977"
Monsey New Square Trails Corporation,,Spring Valley,NY,Mr. Chaim Lunger (President),clunger@monseytrails.com,http://www.monseybus.com/,(845)354-7026,"Eight Washington Avenue, Spring Valley, NY 10977"
"Atlantic Paratrans of NYC, Inc.",API,Staten Island,NY,Mr. Domenic Gatto (President and CEO),nyhq@aetg.net,http://www.atlanticexpress.com/,(718)442-7000,"7 North Street, Staten Island, NY 10302"
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",SIRTOA,Staten Island,NY,Mr. William Massi (Director of Finance-Administration),William.Massi@nyct.com,http://www.mta.info/,(718)876-8255,"60 Bay Street, Staten Island, NY 10301"
"Centro of Oneida, Inc.",Centro of Oneida,Syracruse,NY,Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,http://www.centro.org/,315-442-3360,"200 Cortland Avenue, Syracruse, NY 13205"
"CNY Centro, Inc.",CNY Centro,Syracuse,NY,Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,http://www.centro.org/,(315)442-3360,"200 Cortland Ave., Syracuse, NY 13205"
"Centro of Cayuga, Inc.",Centro of Cayuga,Syracuse,NY,Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,http://www.centro.org/,(315)442-3360,"200 Cortland Avenue, Syracuse, NY 13205"
"Centro of Oswego, Inc.",Centro of Oswego,Syracuse,NY,Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,http://www.centro.org/,(315)442-3360,"200 Cortland Avenue, Syracuse, NY 13205"
